Modded Block,Vanilla Block
pixelmon:ruby_ore,redstone_ore
pixelmon:amethyst_ore,amethyst_block
pixelmon:gym_sign,jungle_wall_sign
pixelmon:pixelmon_grass,short_grass
pixelmon:fossil,skeleton_wall_skull
pixelmon:bauxite_ore,coal_ore
pixelmon:silicon_ore,iron_ore
pixelmon:healer,soul_lantern
pixelmon:water_stone_ore,stone
variedcommodities:wall_banner,white_wall_banner
pixelmon:movement_plate,jungle_pressure_plate
pixelmon:crystal_ore,gold_ore
variedcommodities:placeholder,dispenser
cfm:grand_chair_top,ladder
cfm:candle,candle
cfm:curtains_open,open_eyeblossom
cfm:grand_chair_bottom,ladder
lotr:tile.lotr:woodBeamV1,resin_brick_slab
ExtraUtilities:magnumTorch,piston
chisel:marble,prismarine_brick_slab
chisel:andesite,andesite
Botania:flower,chorus_flower
malisisdoors:player_sensor,sculk_sensor
chisel:granite,granite
CarpentersBlocks:blockCarpentersButton,note_block
malisisdoors:jail_door,jungle_door
chisel:diorite,diorite
CarpentersBlocks:blockCarpentersDoor,oxidized_cut_copper
denseores:block2,oxidized_cut_copper
TMechworks:RedstoneMachine,redstone_block
DraconicEvolution:safetyFlame,fire
EnderIO:blockConduitBundle,chiseled_polished_blackstone
Steamcraft:steamcraftOre,crafter
harvestcraft:salt,sand
ThermalFoundation:Ore,gold_ore
botania:pylon,melon
BiblioWoodsBoP:BiblioWoodClock,bookshelf
CarpentersBlocks:blockCarpentersBarrier,oxidized_cut_copper
Growthcraft|Cellar:grc.fermentBarrel,barrel
BiblioCraft:BiblioLabel,bookshelf
BiblioWoodsBoP:BiblioWoodSeat,bookshelf
BiblioCraft:BiblioTable,bookshelf
CarpentersBlocks:blockCarpentersLadder,oxidized_cut_copper
BiblioCraft:BiblioLamp,bookshelf
BiblioCraft:Armor Stand,brewing_stand
chisel:oak_planks,oak_planks
ArchimedesShipsPlus:marker,crimson_wall_sign
BiblioCraft:BiblioSwordPedestal,bookshelf
pixelmon:white_chair,white_bed
biomesoplenty:log_0,jungle_log
biomesoplenty:wood_slab_0,stone_slab
